ID,area_,bounds
11020,788269410824.5042,"(110.00000000000001, 20.0, 120.005, 30.004999999999992)"
11030,967403870622.146,"(110.0, 29.999999999999993, 120.005, 40.005)"
11040,872878138833.3472,"(110.0, 39.99999999999999, 120.005, 50.005)"
11050,707147326461.7683,"(110.00000000000001, 49.99999999999999, 120.005, 60.00500000000001)"
11060,520428118527.59424,"(110.0, 59.99999999999999, 120.005, 70.005)"
11070,157968255969.35718,"(110.0, 70.0, 120.005, 80.005)"
120-40,299506761923.7877,"(120.00000000000001, -40.00000000000001, 130.005, -29.995000000000005)"
120-30,1121623467756.131,"(119.99999999999999, -29.999999999999993, 130.005, -19.994999999999997)"
120-20,476022156339.9115,"(119.99999999999999, -20.0, 130.005, -9.995)"
120-10,190326580420.15524,"(119.99999999999999, -10.0, 130.005, 0.004999999999999999)"
1200,168415958596.61823,"(119.99999999999999, 0.0, 130.005, 10.005)"
12010,167018822389.03516,"(119.99999999999999, 10.0, 130.005, 20.005000000000003)"
12020,81938550532.41708,"(119.99999999999999, 20.0, 130.005, 30.004999999999992)"
12030,247665023067.97772,"(120.00000000000001, 29.999999999999993, 130.005, 40.00500000000001)"
12040,850613361064.8242,"(119.99999999999999, 40.00000000000001, 130.005, 50.005)"
12050,707147326461.7711,"(119.99999999999999, 49.99999999999999, 130.005, 60.00500000000001)"
12060,520428118527.59546,"(119.99999999999999, 59.99999999999999, 130.005, 70.005)"
12070,116798986928.06064,"(119.99999999999999, 70.0, 130.005, 80.005)"
130-40,357877893299.1272,"(130.0, -40.0, 140.005, -29.995000000000005)"
130-30,1121623467756.1267,"(130.0, -29.999999999999993, 140.005, -19.994999999999997)"
130-20,746793874694.137,"(130.0, -20.0, 140.005, -9.995)"
130-10,354641068241.2674,"(130.0, -10.0, 140.005, 0.004999999999999999)"
1300,381682590.86276984,"(130.0, 0.0, 140.005, 10.005)"
13030,216284142393.25388,"(130.0, 29.999999999999993, 140.005, 40.005)"
13040,484971835499.8175,"(130.0, 40.0, 140.005, 50.005)"
13050,640098824495.0615,"(130.0, 49.99999999999999, 140.005, 60.00500000000001)"
13060,520428118527.5945,"(130.0, 59.99999999999999, 140.005, 70.005)"
13070,68618596617.24496,"(130.0, 70.0, 140.005, 80.005)"
140-50,66056404164.72888,"(140.0, -49.99999999999999, 150.005, -39.995)"
140-40,839788129954.1685,"(140.0, -40.0, 150.005, -29.995000000000005)"
140-30,1097698511383.0353,"(140.0, -29.999999999999996, 150.005, -19.994999999999997)"
140-20,418652023029.3615,"(140.0, -20.0, 150.005, -9.995)"
140-10,482105951910.5418,"(140.0, -10.0, 150.005, 0.004999999999999999)"
14010,815788594.6119806,"(140.0, 10.0, 150.005, 20.005)"
14030,53629409349.57304,"(140.0, 29.999999999999993, 150.005, 40.005)"
14040,138403759058.3999,"(140.0, 40.0, 150.005, 50.005)"
14050,123992750602.62857,"(140.0, 49.99999999999999, 150.005, 60.00500000000001)"
14060,520428118527.5952,"(140.0, 59.99999999999999, 150.005, 70.005)"
14070,119351490340.51527,"(140.0, 70.0, 150.005, 80.005)"
150-60,125807176.3294985,"(150.0, -59.99999999999999, 160.005, -49.995)"
150-40,114870640635.67389,"(150.0, -40.0, 160.005, -29.995000000000005)"
150-30,221356061725.73645,"(150.0, -29.999999999999993, 160.005, -19.994999999999997)"
150-20,5416835071.75827,"(150.0, -20.0, 160.005, -9.995)"
150-10,60651446532.19705,"(150.0, -10.0, 160.005, 0.004999999999999999)"
1500,389973671.2426563,"(150.0, 0.0, 160.005, 10.005)"
15040,1851528518.733358,"(150.0, 40.0, 160.005, 50.005)"
15050,194677873586.1926,"(150.0, 49.99999999999999, 160.005, 60.00500000000001)"
15060,478178839767.32947,"(150.0, 59.99999999999999, 160.005, 70.005)"
15070,41313255377.832634,"(150.0, 70.0, 160.005, 80.005)"
160-60,760697659.5293404,"(160.0, -59.99999999999999, 170.00500000000002, -49.995)"
160-50,63923212067.8647,"(160.0, -50.0, 170.00500000000002, -39.99499999999999)"
160-30,19113334933.53063,"(160.0, -29.999999999999996, 170.00500000000002, -19.994999999999997)"
160-20,16663931879.289417,"(160.0, -20.0, 170.00500000000002, -9.995)"
160-10,8343126558.5278,"(160.0, -10.0, 170.00500000000002, 0.005)"
1600,156444686.62093443,"(160.0, 0.0, 170.00500000000002, 10.005)"
16010,22306740.715562895,"(160.0, 10.0, 170.00500000000002, 20.005)"
16050,97249594857.02608,"(160.0, 49.99999999999999, 170.00500000000002, 60.00500000000001)"
16060,461074004576.05035,"(160.0, 59.99999999999999, 170.00500000000002, 70.005)"
16070,221974006.61034694,"(160.0, 70.0, 170.00500000000002, 80.005)"
170-50,105542303599.19974,"(170.0, -49.99999999999999, 180.00499999999997, -39.995)"
